timestamp (UTC+1),PM2.5 nom,PM10 nom,humidity_percent,pm10_ugm3,PM10 Avg,pm25_ugm3,PM2.5 Avg,temperature_degC
2018-03-21 16:50:49,40,25,41.1,15.02459,12.994292,6.881966,6.6700304,14.5
2018-03-21 16:51:49,40,25,41.6,13.20833,12.8105,6.551666,6.643834,14.5
2018-03-21 16:52:49,40,25,41.6,12.73333,12.703501,6.480001,6.6925006,14.5
2018-03-21 16:53:49,40,25,41.5,13.83333,12.754668,6.443333,6.7650005,14.6
2018-03-21 16:54:49,40,25,40.3,11.85167,12.569002,6.033335,6.8175005,14.6
2018-03-21 16:55:49,40,25,41.2,11.83,12.721835,6.323333,6.9393338,14.5
2018-03-21 16:56:49,40,25,41.2,13.255,12.784835,6.801668,7.0151671,14.5
2018-03-21 16:57:49,40,25,41.4,13.205,12.876168,7.554999,7.0676671,14.5
2018-03-21 16:58:49,40,25,41.4,12.67,12.896501,6.853333,7.0753337,14.5
2018-03-21 16:59:49,40,25,41.4,12.33167,12.762334,6.77667,7.1263337,14.5
2018-03-21 17:00:49,40,25,41.3,13.18667,12.752334,6.620002,7.2006669,14.5
2018-03-21 17:01:49,40,25,41.4,12.13834,12.584334,7.038332,7.249,14.5
2018-03-21 17:02:49,40,25,41.5,13.245,12.924333,7.205,7.4341667,14.5
2018-03-21 17:03:49,40,25,41.3,11.97667,12.9885,6.968333,7.5135002,14.5
2018-03-21 17:04:49,40,25,41.5,13.38,13.294166,7.251668,7.636167,14.5
2018-03-21 17:05:49,40,25,41.4,12.46,13.289833,7.081666,7.6850002,14.5
2018-03-21 17:06:49,40,25,41.4,14.16833,13.3075,7.326668,7.6720003,14.5
2018-03-21 17:07:49,40,25,41.6,13.40833,13.385001,7.631665,7.7713338,14.5
2018-03-21 17:08:49,40,25,41.5,11.32833,13.473835,7.363333,7.8333341,14.5
2018-03-21 17:09:49,40,25,41.5,12.23167,13.753502,7.520002,7.9201675,14.5
2018-03-21 17:10:49,40,25,41.3,11.50667,13.732168,7.103333,7.8611674,14.5
2018-03-21 17:11:49,40,25,41.4,15.53833,13.976834,8.889999,7.9303341,14.6
2018-03-21 17:12:49,40,25,41.5,13.88667,13.798001,7.998335,7.8288341,14.6
2018-03-21 17:13:49,40,25,41.5,15.03333,13.716334,8.195001,7.8035004,14.6
2018-03-21 17:14:49,40,25,41.4,13.33667,13.613668,7.74,7.7418336,14.6
2018-03-21 17:15:49,40,25,41.4,12.63667,13.440667,6.951667,7.6951668,14.6
2018-03-21 17:16:49,40,25,41.2,14.94334,13.515167,8.320003,7.8175,14.6
2018-03-21 17:17:49,40,25,41.3,14.29667,13.299833,8.251668,7.7918331,14.6
2018-03-21 17:18:49,40,25,41.4,14.125,13.324999,8.231667,7.7164997,14.6
2018-03-21 17:19:49,40,25,41.1,12.01833,13.237166,6.930001,7.6769999,14.6
2018-03-21 17:20:49,40,25,41,13.95333,13.526,7.795,7.7829998,14.6
2018-03-21 17:21:56,40,25,41.1,13.75,13.731333,7.874999,7.8619999,14.6
2018-03-21 17:22:49,40,25,41.2,13.07,13.841666,7.744998,7.9440001,14.6
2018-03-21 17:23:49,40,25,41.1,14.00667,14.203166,7.578333,8.0161665,14.6
2018-03-21 17:24:49,40,25,41.1,11.60666,14.468332,7.273332,8.1951666,14.7
2018-03-21 17:25:49,40,25,41.2,13.38167,15.015833,8.174999,8.4313333,14.7
2018-03-21 17:26:49,40,25,41.2,12.79,15.466832,8.063334,8.5841667,14.7
2018-03-21 17:27:49,40,25,41.1,14.54833,15.809666,7.498334,8.7326667,14.7
2018-03-21 17:28:49,40,25,41.1,13.24667,15.8275,7.836669,8.8366667,14.7
2018-03-21 17:29:49,40,25,41.2,14.90667,15.9225,7.99,8.8603331,14.7
2018-03-21 17:30:49,40,25,41.1,16.00666,15.984333,8.585001,8.9366664,14.7
2018-03-21 17:31:49,40,25,41.1,14.85333,16.164834,8.695001,9.064333,14.7
2018-03-21 17:32:49,40,25,41.2,16.685,16.464668,8.466662,9.1721666,14.8
2018-03-21 17:33:49,40,25,41.2,16.65833,16.528168,9.368334,9.3928344,14.8
2018-03-21 17:34:49,40,25,41.2,17.08167,16.532002,9.634999,9.4105012,14.7
2018-03-21 17:35:49,40,25,41.2,17.89166,16.368335,9.703333,9.3333349,14.7
2018-03-21 17:36:49,40,25,41.2,16.21834,16.021502,9.548334,9.1815017,14.7
2018-03-21 17:37:49,40,25,41.3,14.72667,15.929001,8.538334,9.0841681,14.7
2018-03-21 17:38:49,40,25,41.1,14.19667,15.907501,8.073333,9.0736679,14.6
2018-03-21 17:39:49,40,25,41.3,15.525,16.085501,8.753333,9.1613347,14.6
2018-03-21 17:40:49,40,25,41.5,17.81167,16.183168,9.861667,9.1683347,14.6
2018-03-21 17:41:49,40,25,41.5,17.85167,16.17573,9.773337,9.1286088,14.6
2018-03-21 17:42:49,40,25,41.6,17.32,16.264396,10.67334,9.1624411,14.6
2018-03-21 17:43:49,40,25,41.6,16.69667,16.289729,9.545002,9.0837737,14.6
2018-03-21 17:44:49,40,25,41.6,15.445,16.257229,8.863336,9.1049403,14.6
2018-03-21 17:45:49,40,25,41.5,14.42333,16.568229,8.185001,9.2232727,14.6
2018-03-21 17:46:49,40,25,41.5,15.29333,16.970562,8.574998,9.4411056,14.6
2018-03-21 17:47:49,40,25,41.5,14.51167,17.086729,8.433332,9.5477726,14.6
2018-03-21 17:48:49,40,25,41.5,15.97667,17.339228,8.950001,9.6864397,14.7
2018-03-21 17:49:49,40,25,41.6,16.50167,17.443561,8.823333,9.7557726,14.7
2018-03-21 17:50:48,40,25,41.5,17.73729,17.482061,9.464408,9.8146061,14.7
2018-03-21 17:51:48,40,25,41.5,18.73833,17.200332,10.11166,9.7316652,14.7
2018-03-21 17:52:48,40,25,41.5,17.57333,16.790166,9.886666,9.5398326,14.7
2018-03-21 17:53:48,40,25,41.6,16.37167,16.526333,9.756668,9.3714995,14.7
2018-03-21 17:54:48,40,25,41.6,18.555,16.276333,10.04666,9.1746659,14.7
2018-03-21 17:55:48,40,25,41.6,18.44666,15.7975,10.36333,8.9046664,14.7
2018-03-21 17:56:48,40,25,41.6,16.455,15.351334,9.641668,8.6165002,14.7
2018-03-21 17:57:48,40,25,41.5,17.03666,15.180667,9.820003,8.4431669,14.6
2018-03-21 17:58:48,40,25,41.5,17.02,14.901001,9.64333,8.2143333,14.6
2018-03-21 17:59:48,40,25,41.6,16.88667,14.694668,9.411668,7.9943338,14.6
2018-03-21 18:00:48,40,25,41.6,14.92,14.363834,8.634999,7.7418336,14.6
2018-03-21 18:01:48,40,25,41.7,14.63667,14.212167,8.193334,7.5715002,14.6
